사고장소,사고 발생 횟수
서울특별시 노원구 중계동 동일로206길,1
서울특별시 노원구 중계동 동일로208길,1
서울특별시 노원구 중계동 동일로210길,2
서울특별시 노원구 중계동 섬밭로,1
서울특별시 노원구 중계동 중계로,1
서울특별시 노원구 중계동 중계로14나길,1
서울특별시 노원구 중계동 중계로17길,1
서울특별시 노원구 중계동 중계로18길,1
서울특별시 노원구 중계동 중계로19길,1
서울특별시 노원구 중계동 중계로8길,1
서울특별시 노원구 중계동 한글비석로,2
서울특별시 노원구 중계동 한글비석로15길,1
서울특별시 노원구 중계동 한글비석로19길,1
서울특별시 노원구 중계동 한글비석로20길,1
서울특별시 노원구 중계동 한글비석로22길,1
서울특별시 노원구 하계동 공릉로,4
서울특별시 노원구 하계동 노원로,2
서울특별시 노원구 하계동 노원로14길,2
서울특별시 노원구 하계동 노원로16길,1
서울특별시 노원구 하계동 노원로18길,1
서울특별시 노원구 하계동 동일로,1
서울특별시 노원구 하계동 섬밭로,1
서울특별시 노원구 하계동 한글비석로,4
서울특별시 도봉구 도봉동 도봉로,8
서울특별시 도봉구 도봉동 도봉로152길,1
서울특별시 도봉구 도봉동 도봉로154길,1
서울특별시 도봉구 도봉동 도봉로169가길,1
서울특별시 도봉구 도봉동 도봉로169나길,3
서울특별시 도봉구 도봉동 도봉로170길,2
서울특별시 도봉구 도봉동 도봉로180가길,3
서울특별시 도봉구 도봉동 도봉로180길,2
서울특별시 도봉구 도봉동 도봉로181길,1
서울특별시 도봉구 도봉동 도봉산길,1
서울특별시 도봉구 도봉동 마들로,5
서울특별시 도봉구 도봉동 시루봉로,1
서울특별시 도봉구 도봉동 창포원로,1
서울특별시 도봉구 방학동 도당로,7
서울특별시 도봉구 방학동 도봉로,1
서울특별시 도봉구 방학동 도봉로150길,1
서울특별시 도봉구 방학동 도봉로150나길,1
서울특별시 도봉구 방학동 도봉로152길,1
서울특별시 도봉구 방학동 방학로,10
서울특별시 도봉구 방학동 시루봉로,2
서울특별시 도봉구 방학동 해등로,1
서울특별시 도봉구 쌍문동 노해로,5
