,사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
72,2019070000000000.0,2019년 7월 2일 18시,화요일,서울특별시 서초구 반포동,고무래로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,45세,상해없음,보행자,여,71세,중상
73,2019060000000000.0,2019년 6월 3일 05시,월요일,서울특별시 서초구 서초동,서초대로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,승용,남,71세,중상
74,2019110000000000.0,2019년 11월 27일 05시,수요일,서울특별시 서초구 서초동,남부순환로,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,사망,화물,남,71세,상해없음
75,2019090000000000.0,2019년 9월 12일 07시,목요일,서울특별시 서초구 서초동,사임당로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,승용,남,71세,경상
76,2019080000000000.0,2019년 8월 29일 10시,목요일,서울특별시 서초구 서초동,명달로,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,화물,남,59세,상해없음,승용,남,71세,경상
77,2019110000000000.0,2019년 11월 19일 17시,화요일,서울특별시 서초구 서초동,서운로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,남,71세,상해없음
78,2019110000000000.0,2019년 11월 8일 15시,금요일,서울특별시 서초구 방배동,효령로4길,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,70세,경상
79,2019010000000000.0,2019년 1월 20일 20시,일요일,서울특별시 서초구 방배동,방배로,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,61세,상해없음,승합,남,70세,상해없음
80,2019100000000000.0,2019년 10월 11일 03시,금요일,서울특별시 서초구 양재동,동산로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,47세,경상,승용,남,70세,상해없음
81,2019080000000000.0,2019년 8월 19일 09시,월요일,서울특별시 서초구 양재동,강남대로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,58세,상해없음,보행자,여,70세,경상
